"pitches","player_id","player_name","year","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp","bat_speed","swing_length"
23889,147,"NYY",2023,23889,100,0.235,0.162,0.281,0.396,0.307,0.313,0.24,1272,5424,88.2,12.5,2317,90.3,90.16,2934,11410,12476,-0.09999999999999432,6.26,112,149,117,151,297,327,289,"58.2","-58.2",,
14752,147,"NYY",2024,14752,100,0.226,0.157,0.271,0.383,0.304,0.313,0.236,734,3252,89,14.2,2345,89.9,89.64,1836,6914,7837,-0.30000000000001137,6.18,111,150,117,151,290,323,286,"39.2","-39.2",69.72588204390901,"7.228300262"
23075,141,"TOR",2022,23075,100,0.247,0.153,0.297,0.399,0.309,0.313,0.247,1356,5493,88.6,13.1,2195,89.1,89.03,2857,11368,11706,-0.09999999999999432,6.37,109,158,120,149,295,320,297,"17.2","-17.2",,
23244,141,"TOR",2016,23244,100,0.242,0.156,0.283,0.398,0.304,0.313,0.247,1340,5546,88.9,10.1,2291,88,87.06,2662,10931,12278,-0.9000000000000057,5.87,109,152,114,147,294,317,293,"82.6","-82.6",,
24213,158,"MIL",2017,24213,100,0.252,0.162,0.301,0.414,0.318,0.312,0.247,1381,5479,85.9,10.4,2173,89.2,88.99,2723,11326,12887,-0.20000000000000284,6.17,109,153,114,150,302,312,289,"32.1","-32.1",,
23151,140,"TEX",2023,23151,100,0.245,0.161,0.289,0.406,0.311,0.312,0.242,1330,5419,88.5,13.2,2188,89.1,89.39,2920,11175,11976,0.30000000000001137,6.51,114,149,117,148,303,329,300,"15","-15",,
23759,146,"MIA",2023,23759,100,0.246,0.168,0.302,0.414,0.316,0.312,0.241,1340,5455,88.3,11.3,2243,90.3,90.28,3152,11336,12423,0,6.34,110,149,117,149,301,319,294,"27.4","-27.4",,
24193,111,"BOS",2021,24193,100,0.258,0.16,0.324,0.417,0.324,0.312,0.241,1409,5470,88.1,11.6,2217,89.6,89.76,3012,11495,12698,0.20000000000000284,6.4,110,154,118,148,291,327,297,"-30","30",,
13616,114,"CLE",2024,13616,100,0.234,0.17,0.283,0.404,0.31,0.312,0.239,732,3133,88.9,13.3,2208,87.9,88.57,1659,6460,7156,0.6999999999999886,6.68,111,149,122,149,298,318,298,"24","-24",69.50671630390488,"7.226918444"
22990,146,"MIA",2021,22990,100,0.241,0.16,0.292,0.401,0.31,0.312,0.24,1282,5330,87.4,10.1,2200,89.7,89.46,2873,11164,11826,-0.20000000000000284,6.2,108,150,116,148,299,317,287,"5.5","-5.5",,
22406,137,"SF",2015,22406,100,0.246,0.149,0.285,0.395,0.304,0.312,0.247,1344,5463,88.2,10.8,2148,86.9,86.46,2370,10538,11766,-0.4000000000000057,6.02,112,149,109,146,291,316,294,"55.1","-55.1",,
23228,144,"ATL",2021,23228,100,0.234,0.158,0.283,0.392,0.303,0.312,0.24,1237,5279,87.8,10.1,2268,88.7,88.73,3003,11170,12058,0,6.26,108,151,124,146,302,321,293,"79.4","-79.4",,
13975,110,"BAL",2024,13975,100,0.23,0.151,0.276,0.381,0.298,0.312,0.24,747,3253,88.4,13.1,2322,89.1,89.33,1697,6611,7361,0.20000000000000284,6.46,113,149,120,149,302,325,296,"37.7","-37.7",69.5222808149917,"7.245683602"
23816,139,"TB",2015,23816,100,0.24,0.145,0.286,0.385,0.301,0.311,0.239,1314,5477,88.7,13.3,2104,88.9,88.16,2783,11260,12479,-0.7000000000000028,5.88,105,152,114,146,295,328,297,"48.8","-48.8",,
23829,141,"TOR",2023,23829,100,0.241,0.162,0.296,0.403,0.308,0.311,0.242,1326,5504,88.4,13.1,2204,88.8,89.15,3073,11366,12460,0.4000000000000057,6.57,109,149,120,148,290,324,287,"76","-76",,
23532,116,"DET",2016,23532,100,0.26,0.161,0.302,0.421,0.318,0.311,0.245,1417,5457,88.2,13,2254,89.5,89.08,2584,11218,12220,-0.4000000000000057,6.11,109,151,113,146,304,323,291,"-4.3","4.3",,
