team,year,close_games,close_win_pct,run_diff
HOU,2015,50,0.42,111
TEX,2015,49,0.5510204081632653,18
LAA,2015,52,0.6730769230769231,-14
OAK,2015,54,0.35185185185185186,-35
SEA,2015,57,0.49122807017543857,-70
KC,2015,40,0.575,83
DET,2015,48,0.5416666666666666,-114
CLE,2015,33,0.45454545454545453,29
MIN,2015,41,0.5121951219512195,-4
CWS,2015,59,0.4915254237288136,-79
NYY,2015,47,0.48936170212765956,66
BOS,2015,39,0.5128205128205128,-5
TB,2015,56,0.4642857142857143,2
TOR,2015,43,0.3488372093023256,221
BAL,2015,51,0.49019607843137253,20
LAD,2015,49,0.46938775510204084,72
SD,2015,43,0.5116279069767442,-81
COL,2015,44,0.45454545454545453,-107
AZ,2015,44,0.45454545454545453,7
SF,2015,47,0.40425531914893614,69
MIL,2015,32,0.5,-82
PIT,2015,53,0.6792452830188679,101
STL,2015,55,0.5818181818181818,122
CIN,2015,47,0.3829787234042553,-114
CHC,2015,55,0.6181818181818182,81
NYM,2015,49,0.5102040816326531,70
ATL,2015,46,0.6086956521739131,-187
PHI,2015,43,0.37209302325581395,-183
WSH,2015,44,0.5,68
MIA,2015,44,0.5227272727272727,-65
HOU,2016,53,0.5283018867924528,23
TEX,2016,47,0.7659574468085106,8
LAA,2016,37,0.4594594594594595,-10
OAK,2016,53,0.4716981132075472,-108
SEA,2016,60,0.5,61
KC,2016,48,0.4791666666666667,-37
DET,2016,43,0.6046511627906976,29
CLE,2016,49,0.5714285714285714,101
MIN,2016,44,0.3409090909090909,-167
CWS,2016,52,0.4423076923076923,-29
NYY,2016,36,0.6666666666666666,-22
BOS,2016,44,0.45454545454545453,184
TB,2016,40,0.325,-41
TOR,2016,46,0.45652173913043476,93
BAL,2016,37,0.5675675675675675,29
LAD,2016,42,0.5238095238095238,87
SD,2016,50,0.38,-84
COL,2016,32,0.375,-15
AZ,2016,39,0.5641025641025641,-138
SF,2016,55,0.509090909090909,84
MIL,2016,51,0.45098039215686275,-62
PIT,2016,41,0.4878048780487805,-29
STL,2016,47,0.5106382978723404,67
CIN,2016,49,0.4489795918367347,-138
CHC,2016,45,0.4888888888888889,252
NYM,2016,47,0.5319148936170213,54
ATL,2016,43,0.4883720930232558,-130
PHI,2016,51,0.5490196078431373,-186
WSH,2016,45,0.5777777777777777,151
MIA,2016,46,0.4782608695652174,-27
HOU,2017,32,0.59375,196
TEX,2017,37,0.35135135135135137,-17
LAA,2017,49,0.5510204081632653,1
OAK,2017,42,0.5,-87
SEA,2017,41,0.6341463414634146,-22
KC,2017,41,0.6097560975609756,-89
DET,2017,40,0.425,-159
CLE,2017,35,0.5714285714285714,254
MIN,2017,33,0.45454545454545453,27
CWS,2017,44,0.4772727272727273,-114
NYY,2017,44,0.4090909090909091,198
BOS,2017,41,0.5365853658536586,117
TB,2017,45,0.4666666666666667,-10
TOR,2017,53,0.49056603773584906,-91
BAL,2017,41,0.5121951219512195,-98
LAD,2017,44,0.5681818181818182,190
SD,2017,38,0.5,-212
COL,2017,35,0.6,67
AZ,2017,52,0.5576923076923077,153
SF,2017,47,0.48936170212765956,-137
MIL,2017,47,0.5319148936170213,35
PIT,2017,44,0.45454545454545453,-63
STL,2017,53,0.4528301886792453,56
CIN,2017,35,0.37142857142857144,-116
CHC,2017,43,0.6046511627906976,127
NYM,2017,45,0.4666666666666667,-128
ATL,2017,43,0.4418604651162791,-89
PHI,2017,57,0.3684210526315789,-92
WSH,2017,51,0.5882352941176471,147
MIA,2017,40,0.45,-44
HOU,2018,48,0.5,263
TEX,2018,31,0.3870967741935484,-111
LAA,2018,41,0.6341463414634146,-1
OAK,2018,45,0.6888888888888889,139
SEA,2018,57,0.631578947368421,-34
KC,2018,49,0.3877551020408163,-195
DET,2018,52,0.4230769230769231,-166
CLE,2018,46,0.4782608695652174,170
MIN,2018,36,0.4166666666666667,-37
CWS,2018,40,0.375,-192
NYY,2018,40,0.575,182
BOS,2018,39,0.6410256410256411,229
TB,2018,59,0.4745762711864407,70
TOR,2018,40,0.575,-123
BAL,2018,41,0.2926829268292683,-270
LAD,2018,44,0.5,194
SD,2018,43,0.5116279069767442,-150
COL,2018,41,0.6341463414634146,35
AZ,2018,51,0.39215686274509803,49
SF,2018,56,0.4642857142857143,-96
MIL,2018,52,0.6346153846153846,95
PIT,2018,51,0.5686274509803921,-1
STL,2018,44,0.5,68
CIN,2018,39,0.2564102564102564,-123
CHC,2018,51,0.5098039215686274,116
NYM,2018,42,0.38095238095238093,-31
ATL,2018,35,0.6571428571428571,102
PHI,2018,41,0.5609756097560976,-51
WSH,2018,42,0.42857142857142855,89
MIA,2018,40,0.475,-220
HOU,2019,43,0.5581395348837209,280
TEX,2019,46,0.5434782608695652,-68
LAA,2019,40,0.45,-99
OAK,2019,49,0.5510204081632653,165
SEA,2019,49,0.46938775510204084,-135
KC,2019,40,0.375,-178
DET,2019,36,0.3888888888888889,-333
CLE,2019,31,0.4838709677419355,112
MIN,2019,35,0.6571428571428571,185
CWS,2019,32,0.4375,-124
NYY,2019,37,0.4864864864864865,204
BOS,2019,45,0.5111111111111111,73
TB,2019,39,0.5897435897435898,113
TOR,2019,41,0.43902439024390244,-102
BAL,2019,33,0.3333333333333333,-252
LAD,2019,49,0.5510204081632653,273
SD,2019,50,0.52,-107
COL,2019,43,0.5116279069767442,-123
AZ,2019,50,0.48,70
SF,2019,54,0.7037037037037037,-95
MIL,2019,45,0.6,3
PIT,2019,44,0.4318181818181818,-153
STL,2019,47,0.5319148936170213,102
CIN,2019,57,0.42105263157894735,-10
CHC,2019,46,0.41304347826086957,97
NYM,2019,47,0.5106382978723404,54
ATL,2019,44,0.6363636363636364,112
PHI,2019,40,0.5,-20
WSH,2019,38,0.4473684210526316,149
MIA,2019,44,0.36363636363636365,-193
HOU,2020,24,0.4166666666666667,4
TEX,2020,13,0.5384615384615384,-88
LAA,2020,18,0.5,-27
OAK,2020,13,0.5384615384615384,42
SEA,2020,15,0.4666666666666667,-49
KC,2020,17,0.47058823529411764,-24
DET,2020,16,0.4375,-69
CLE,2020,14,0.5714285714285714,39
MIN,2020,14,0.6428571428571429,54
CWS,2020,13,0.38461538461538464,60
NYY,2020,13,0.46153846153846156,45
BOS,2020,13,0.3076923076923077,-59
TB,2020,19,0.7368421052631579,60
TOR,2020,23,0.5652173913043478,-10
BAL,2020,19,0.3684210526315789,-20
LAD,2020,12,0.5833333333333334,136
SD,2020,16,0.5,84
COL,2020,17,0.5294117647058824,-78
AZ,2020,18,0.5,-26
SF,2020,16,0.5,2
MIL,2020,16,0.6875,-17
PIT,2020,23,0.34782608695652173,-79
STL,2020,13,0.5384615384615384,11
CIN,2020,15,0.4666666666666667,0
CHC,2020,19,0.5263157894736842,25
NYM,2020,17,0.35294117647058826,-22
ATL,2020,17,0.6470588235294118,60
PHI,2020,18,0.4444444444444444,-5
WSH,2020,16,0.4375,-8
MIA,2020,19,0.5789473684210527,-41
HOU,2021,40,0.525,205
TEX,2021,39,0.46153846153846156,-190
LAA,2021,39,0.6410256410256411,-81
OAK,2021,50,0.46,56
SEA,2021,52,0.6346153846153846,-51
KC,2021,40,0.525,-102
DET,2021,46,0.5,-59
CLE,2021,39,0.4358974358974359,-10
MIN,2021,44,0.5681818181818182,-105
CWS,2021,42,0.42857142857142855,160
NYY,2021,48,0.5833333333333334,42
BOS,2021,44,0.5909090909090909,80
TB,2021,45,0.4444444444444444,206
TOR,2021,30,0.5,183
BAL,2021,37,0.35135135135135137,-297
LAD,2021,48,0.5,269
SD,2021,47,0.44680851063829785,21
COL,2021,49,0.4897959183673469,-57
AZ,2021,41,0.24390243902439024,-214
SF,2021,48,0.6458333333333334,210
MIL,2021,36,0.5833333333333334,115
PIT,2021,42,0.47619047619047616,-224
STL,2021,45,0.5777777777777777,34
CIN,2021,44,0.5454545454545454,26
CHC,2021,51,0.47058823529411764,-134
NYM,2021,66,0.4696969696969697,-32
ATL,2021,57,0.45614035087719296,134
PHI,2021,55,0.5454545454545454,-11
WSH,2021,48,0.4583333333333333,-96
MIA,2021,50,0.42,-78
HOU,2022,44,0.6363636363636364,219
TEX,2022,50,0.3,-36
LAA,2022,46,0.391304347826087,-45
OAK,2022,42,0.40476190476190477,-202
SEA,2022,56,0.6071428571428571,67
KC,2022,36,0.4444444444444444,-170
DET,2022,42,0.5238095238095238,-156
CLE,2022,45,0.6222222222222222,64
MIN,2022,48,0.4166666666666667,12
CWS,2022,43,0.627906976744186,-31
NYY,2022,58,0.5344827586206896,240
BOS,2022,50,0.48,-52
TB,2022,54,0.5,52
TOR,2022,50,0.6,96
BAL,2022,47,0.48936170212765956,-14
LAD,2022,31,0.5161290322580645,334
SD,2022,47,0.6382978723404256,45
COL,2022,47,0.48936170212765956,-175
AZ,2022,46,0.3695652173913043,-38
SF,2022,49,0.4489795918367347,19
MIL,2022,51,0.5490196078431373,37
PIT,2022,48,0.4375,-226
STL,2022,43,0.6046511627906976,135
CIN,2022,44,0.4772727272727273,-167
CHC,2022,53,0.49056603773584906,-74
NYM,2022,36,0.5833333333333334,166
ATL,2022,44,0.5909090909090909,180
PHI,2022,47,0.46808510638297873,62
WSH,2022,39,0.4358974358974359,-252
MIA,2022,64,0.375,-90
HOU,2023,41,0.4878048780487805,129
TEX,2023,36,0.3888888888888889,165
LAA,2023,43,0.5116279069767442,-90
OAK,2023,47,0.425531914893617,-339
SEA,2023,51,0.49019607843137253,99
KC,2023,41,0.5121951219512195,-183
DET,2023,41,0.5121951219512195,-79
CLE,2023,58,0.46551724137931033,-35
MIN,2023,46,0.41304347826086957,119
CWS,2023,49,0.3877551020408163,-200
NYY,2023,40,0.425,-25
BOS,2023,43,0.4186046511627907,-4
