team,year,ops,era
COL,2021,0.731,4.83
DET,2021,0.707,4.32
HOU,2021,0.783,3.8
KC,2021,0.702,4.64
LAA,2021,0.717,4.69
LAD,2021,0.759,3.03
MIA,2021,0.671,3.96
MIL,2021,0.713,3.5
MIN,2021,0.738,4.83
NYM,2021,0.705,3.9
NYY,2021,0.729,3.76
OAK,2021,0.723,4.02
PHI,2021,0.726,4.39
PIT,2021,0.673,5.08
SD,2021,0.722,4.1
SEA,2021,0.688,4.3
SF,2021,0.769,3.25
STL,2021,0.725,4.0
TB,2021,0.75,3.67
TEX,2021,0.67,4.8
TOR,2021,0.797,3.91
WSH,2021,0.754,4.82
AZ,2022,0.689,4.25
ATL,2022,0.761,3.46
BAL,2022,0.695,3.97
BOS,2022,0.731,4.53
CHC,2022,0.698,4.03
CWS,2022,0.698,3.94
CIN,2022,0.676,4.86
CLE,2022,0.699,3.47
COL,2022,0.713,5.08
DET,2022,0.632,4.04
HOU,2022,0.743,2.9
KC,2022,0.686,4.72
LAA,2022,0.687,3.79
LAD,2022,0.775,2.8
MIA,2022,0.658,3.87
MIL,2022,0.724,3.83
MIN,2022,0.718,3.98
NYM,2022,0.744,3.58
NYY,2022,0.751,3.3
OAK,2022,0.626,4.54
PHI,2022,0.739,3.98
PIT,2022,0.655,4.66
SD,2022,0.7,3.81
SEA,2022,0.704,3.59
SF,2022,0.705,3.86
STL,2022,0.745,3.79
TB,2022,0.686,3.41
TEX,2022,0.696,4.22
TOR,2022,0.76,3.89
WSH,2022,0.688,5.0
AZ,2023,0.73,4.48
ATL,2023,0.845,4.14
BAL,2023,0.742,3.91
BOS,2023,0.748,4.52
CHC,2023,0.751,4.09
CWS,2023,0.675,4.88
CIN,2023,0.746,4.83
CLE,2023,0.695,3.97
COL,2023,0.715,5.68
DET,2023,0.686,4.24
HOU,2023,0.768,3.94
KC,2023,0.7,5.17
LAA,2023,0.743,4.64
LAD,2023,0.795,4.06
MIA,2023,0.721,4.21
MIL,2023,0.704,3.73
MIN,2023,0.753,3.87
NYM,2023,0.723,4.3
NYY,2023,0.701,3.97
OAK,2023,0.669,5.48
PHI,2023,0.765,4.03
PIT,2023,0.707,4.61
SD,2023,0.742,3.73
SEA,2023,0.734,3.74
SF,2023,0.695,4.02
STL,2023,0.742,4.83
TB,2023,0.776,3.87
TEX,2023,0.79,4.28
TOR,2023,0.745,3.79
WSH,2023,0.709,5.02
