IDfg,Season,Name,OPS,PA
5275,2016,Francisco Cervelli,0.699,393
17273,2022,Jorge Mateo,0.646,533
4229,2019,Howie Kendrick,0.966,370
11493,2020,Manny Machado,0.95,254
16478,2021,Kyle Schwarber,0.928,471
19755,2018,Shohei Ohtani,0.925,367
12164,2019,Miguel Sano,0.923,439
6184,2021,J.D. Martinez,0.867,634
7304,2021,Salvador Perez,0.859,665
16535,2022,Danny Jansen,0.855,248
4892,2019,Mike Moustakas,0.845,584
13329,2017,Jake Lamb,0.844,635
1274,2015,Alex Rodriguez,0.842,620
18839,2023,Josh Naylor,0.842,495
29766,2023,Zack Gelof,0.84,300
8090,2017,Matt Carpenter,0.835,622
6153,2019,Eduardo Escobar,0.831,699
18289,2019,Brian Anderson,0.811,520
5209,2015,Alex Gordon,0.809,422
11615,2023,Brandon Drury,0.803,523
22244,2023,Jack Suwinski,0.793,534
13862,2016,Devon Travis,0.785,432
13757,2021,Chris Taylor,0.782,582
10950,2017,Adam Duvall,0.782,647
11609,2021,Willson Contreras,0.778,483
11476,2017,Odubel Herrera,0.778,563
9777,2023,Nolan Arenado,0.774,612
24679,2022,Brendan Donovan,0.773,468
8202,2017,Josh Harrison,0.771,542
7007,2018,Yadier Molina,0.75,503
19955,2022,Gavin Lux,0.745,471
12092,2019,Niko Goodrum,0.743,472
19287,2021,Adolis Garcia,0.741,622
12533,2016,Marcus Semien,0.735,621
9927,2016,Brett Gardner,0.713,634
12976,2018,Austin Hedges,0.711,326
27478,2023,Patrick Bailey,0.644,353
10324,2020,Marcell Ozuna,1.067,267
639,2017,Adrian Beltre,0.915,389
12856,2021,George Springer,0.907,342
2151,2017,Edwin Encarnacion,0.881,669
11579,2022,Bryce Harper,0.877,426
20454,2022,Jazz Chisholm Jr.,0.86,241
15362,2018,Jeff McNeil,0.852,248
5297,2017,Aaron Hicks,0.847,361
4892,2017,Mike Moustakas,0.835,598
14225,2017,Yasiel Puig,0.833,570
9112,2016,Khris Davis,0.831,610
3473,2022,Anthony Rizzo,0.817,548
15464,2021,Hunter Renfroe,0.816,572
13301,2023,Max Muncy,0.808,579
5930,2018,Nick Markakis,0.806,705
10816,2016,Jedd Gyorko,0.801,438
14551,2023,Anthony Santander,0.797,656
19252,2019,Cavan Biggio,0.793,430
21454,2022,Lars Nootbaar,0.788,347
12532,2021,Kolten Wong,0.783,492
26299,2023,Josh Jung,0.781,515
5254,2021,Robbie Grossman,0.772,671
11445,2022,Mark Canha,0.77,542
10681,2022,Gio Urshela,0.767,551
9627,2018,Yan Gomes,0.762,435
17452,2023,Jose Siri,0.761,364
7539,2015,Neil Walker,0.756,603
15223,2019,Adam Frazier,0.753,608
6368,2016,Adam Jones,0.746,672
4962,2015,Asdrubal Cabrera,0.744,551
7462,2015,Trevor Plouffe,0.742,632
9166,2018,Buster Posey,0.741,448
19734,2022,Josh Rojas,0.739,510
12979,2016,Javier Baez,0.737,450
18795,2022,Ramon Urias,0.72,445
5343,2018,Brandon Crawford,0.719,594
13769,2019,Adalberto Mondesi,0.715,443
11281,2021,Whit Merrifield,0.711,720
6547,2016,Jordy Mercer,0.701,584
16930,2022,Jonah Heim,0.697,450
14106,2015,Addison Russell,0.696,523
10459,2015,Adeiny Hechavarria,0.689,499
20123,2020,Juan Soto,1.185,196
10155,2020,Mike Trout,0.993,241
12861,2020,Anthony Rendon,0.915,232
6184,2016,J.D. Martinez,0.908,517
16219,2019,J.D. Davis,0.895,453
10339,2017,Scooter Gennett,0.874,497
9953,2016,Ryan Schimpf,0.869,330
7859,2018,Charlie Blackmon,0.86,696
10322,2019,Danny Santana,0.857,511
14854,2019,Mike Yastrzemski,0.852,411
11609,2016,Willson Contreras,0.845,283
12155,2017,Eddie Rosario,0.836,589
24617,2023,Jarren Duran,0.828,362
19354,2023,Luke Raley,0.824,406
16997,2018,Gleyber Torres,0.82,484
9256,2018,A.J. Pollock,0.8,460
7859,2015,Charlie Blackmon,0.797,682
11493,2019,Manny Machado,0.796,661
6012,2017,Didi Gregorius,0.796,570
3142,2019,Robinson Chirinos,0.79,437
9785,2019,Kyle Seager,0.789,443
6153,2021,Eduardo Escobar,0.786,599
12282,2015,Rougned Odor,0.781,470
15112,2021,Ryan McMahon,0.779,596
9134,2016,Tyler Flowers,0.777,325
17982,2022,Ty France,0.774,613
19363,2023,Austin Hays,0.769,566
4810,2017,Brian McCann,0.759,399
6012,2016,Didi Gregorius,0.751,597
7007,2017,Yadier Molina,0.751,543
17338,2023,Willi Castro,0.75,409
9927,2015,Brett Gardner,0.742,656
18564,2021,Trent Grisham,0.74,527
12564,2022,Trevor Story,0.737,396
4579,2019,Starlin Castro,0.736,676
4579,2016,Starlin Castro,0.734,610
19452,2023,Jake Rogers,0.73,365
6195,2017,Ian Kinsler,0.725,613
10815,2022,Jurickson Profar,0.723,658
791,2015,Brandon Phillips,0.723,623
8203,2017,Dee Strange-Gordon,0.716,695
15362,2023,Jeff McNeil,0.711,648
12532,2015,Kolten Wong,0.707,613
11038,2019,Kevin Kiermaier,0.676,480
8722,2015,Jason Castro,0.648,375
8090,2022,Matt Carpenter,1.138,154
16424,2019,Jordan Luplow,0.923,261
20437,2023,Royce Lewis,0.921,239
13613,2021,Ketel Marte,0.909,374
6184,2023,J.D. Martinez,0.893,479
11609,2019,Willson Contreras,0.888,409
3711,2017,Eric Thames,0.877,551
11899,2022,Joc Pederson,0.874,433
14128,2017,Joey Gallo,0.869,532
8267,2017,Chris Iannetta,0.865,316
5827,2023,Wilmer Flores,0.863,454
9952,2022,Trayce Thompson,0.86,255
6589,2016,Sean Rodriguez,0.859,342
12164,2017,Miguel Sano,0.859,483
4062,2017,Dexter Fowler,0.851,491
18607,2021,Jared Walsh,0.85,585
23003,2023,Yainer Diaz,0.846,377
14274,2017,Mitch Haniger,0.843,410
10264,2017,Brandon Belt,0.823,451
23667,2021,Wander Franco,0.81,308
18564,2020,Trent Grisham,0.808,252
9054,2018,Justin Smoak,0.808,594
15464,2022,Hunter Renfroe,0.807,522
16472,2022,Rhys Hoskins,0.794,672
11477,2015,Christian Yelich,0.782,525
20126,2021,Dylan Carlson,0.78,619
3531,2015,Troy Tulowitzki,0.777,534
19566,2023,Nathaniel Lowe,0.775,724
18401,2022,Ronald Acuna Jr.,0.764,533
12282,2018,Rougned Odor,0.751,535
12155,2015,Eddie Rosario,0.748,474
4922,2015,Ender Inciarte,0.747,561
4229,2015,Howie Kendrick,0.746,495
20036,2022,Isaac Paredes,0.74,381
16622,2022,Luis Urias,0.739,472
9368,2017,Evan Longoria,0.737,677
13836,2018,Matt Duffy,0.727,560
12144,2018,Max Kepler,0.727,611
12984,2017,Jackie Bradley Jr.,0.726,541
25764,2022,Bobby Witt Jr.,0.722,632
14712,2017,Manuel Margot,0.721,529
19470,2023,Tommy Edman,0.705,528
19997,2022,Santiago Espinal,0.692,491
15172,2018,Tim Anderson,0.687,606
7007,2015,Yadier Molina,0.66,530
9134,2015,Tyler Flowers,0.652,361
9874,2020,DJ LeMahieu,1.011,216
3255,2015,Franklin Gutierrez,0.974,189
13624,2020,Corey Seager,0.943,232
12546,2021,C.J. Cron,0.905,547
9744,2017,Justin Bour,0.902,429
15172,2020,Tim Anderson,0.886,221
2151,2019,Edwin Encarnacion,0.875,486
11737,2019,Nick Castellanos,0.863,664
15447,2016,Ryon Healy,0.861,283
24618,2023,Ryan Jeffers,0.858,335
11609,2017,Willson Contreras,0.855,428
3711,2019,Eric Thames,0.851,459
22275,2023,Jake Burger,0.828,540
11737,2016,Nick Castellanos,0.827,447
13620,2019,Carson Kelly,0.826,365
7539,2016,Neil Walker,0.823,458
13602,2021,Patrick Wisdom,0.823,375
5760,2021,Avisail Garcia,0.82,515
12546,2018,C.J. Cron,0.816,560
9981,2016,Michael Saunders,0.815,558
10762,2017,Corey Dickerson,0.815,629
4940,2023,Jason Heyward,0.813,377
22263,2023,Nolan Gorman,0.805,464
8370,2015,Dustin Pedroia,0.797,425
25976,2023,Riley Greene,0.796,416
10950,2016,Adam Duvall,0.795,608
4191,2015,Yunel Escobar,0.79,591
16622,2021,Luis Urias,0.789,570
5235,2022,Justin Turner,0.788,532
16505,2017,Matt Chapman,0.785,326
14225,2019,Yasiel Puig,0.785,611
14551,2022,Anthony Santander,0.773,647
10324,2016,Marcell Ozuna,0.773,608
4940,2019,Jason Heyward,0.772,589
10950,2021,Adam Duvall,0.772,555
11739,2016,J.T. Realmuto,0.771,545
12532,2022,Kolten Wong,0.77,497
21622,2022,Jake McCarthy,0.769,354
10047,2021,Wil Myers,0.768,500
14854,2021,Mike Yastrzemski,0.768,532
2396,2018,Carlos Santana,0.766,679
3531,2016,Troy Tulowitzki,0.761,544
6848,2016,Eduardo Nunez,0.758,595
22664,2023,Gabriel Moreno,0.747,380
23667,2022,Wander Franco,0.746,344
8202,2021,Josh Harrison,0.741,558
13185,2023,Orlando Arcia,0.741,533
8628,2016,Paulo Orlando,0.734,484
18900,2023,Leody Taveras,0.733,554
4866,2016,Jarrod Dyson,0.728,337
14735,2021,Brett Phillips,0.727,292
9785,2021,Kyle Seager,0.723,670
14106,2017,Addison Russell,0.722,385
4712,2015,Ben Revere,0.719,634
22799,2023,Geraldo Perdomo,0.712,495
22581,2023,Alejandro Kirk,0.692,422
11602,2018,Yolmer Sanchez,0.678,662
14106,2018,Addison Russell,0.657,465
18401,2020,Ronald Acuna Jr.,0.987,202
10047,2020,Wil Myers,0.959,218
20003,2019,Keston Hiura,0.938,348
2530,2017,Yonder Alonso,0.866,521
13862,2015,Devon Travis,0.859,238
10264,2023,Brandon Belt,0.858,404
11270,2017,Aaron Altherr,0.856,412
13145,2021,Josh Bell,0.823,568
16478,2018,Kyle Schwarber,0.823,510
9911,2016,Chris Carter,0.821,644
15676,2016,Jose Abreu,0.82,695
14225,2018,Yasiel Puig,0.82,444
16472,2019,Rhys Hoskins,0.819,705
19627,2023,Brent Rooker,0.817,526
3086,2015,Mitch Moreland,0.812,515
14128,2018,Joey Gallo,0.81,577
3353,2017,Matt Joyce,0.808,544
14274,2021,Mitch Haniger,0.804,691
12564,2021,Trevor Story,0.801,595
17696,2019,Kevin Newman,0.8,531
10542,2016,Derek Dietrich,0.798,412
10815,2018,Jurickson Profar,0.793,594
3473,2021,Anthony Rizzo,0.783,576
17678,2021,Alex Bregman,0.777,400
16153,2022,Austin Slater,0.774,325
17901,2022,Andrew Benintendi,0.772,521
4316,2015,Daniel Murphy,0.77,538
16375,2019,Oscar Mercado,0.761,482
11265,2021,Jonathan Schoop,0.755,674
12037,2023,Jon Berti,0.748,424
9077,2016,Lorenzo Cain,0.747,434
20043,2022,Luis Robert,0.746,401
9549,2015,David Freese,0.743,470
19599,2022,Chas McCormick,0.738,407
16219,2023,J.D. Davis,0.738,546
15172,2022,Tim Anderson,0.734,351
6609,2019,Freddy Galvis,0.734,589
4881,2015,Carlos Gomez,0.724,477
9627,2021,Yan Gomes,0.723,375
12144,2021,Max Kepler,0.719,490
10556,2018,Cesar Hernandez,0.718,708
3892,2018,Josh Reddick,0.718,487
25768,2023,CJ Abrams,0.712,614
12907,2015,Gregory Polanco,0.701,652
6609,2018,Freddy Galvis,0.68,656
10847,2019,Andrelton Simmons,0.673,424
12037,2022,Jon Berti,0.662,404
11489,2021,Michael A. Taylor,0.653,528
10155,2021,Mike Trout,1.09,146
14344,2017,Matt Olson,1.003,216
18882,2020,Brandon Lowe,0.916,224
9218,2020,Paul Goldschmidt,0.883,231
15161,2021,Mitch Garver,0.875,243
16478,2019,Kyle Schwarber,0.871,610
15161,2023,Mitch Garver,0.87,344
7287,2016,Carlos Gonzalez,0.855,632
3410,2019,Ryan Braun,0.849,508
8610,2015,Kendrys Morales,0.847,639
11442,2019,Gary Sanchez,0.841,446
16478,2022,Kyle Schwarber,0.827,669
17027,2019,Alex Verdugo,0.817,377
11737,2017,Nick Castellanos,0.811,665
18314,2020,Dansby Swanson,0.809,264
21865,2023,Bo Naylor,0.809,230
5352,2016,Yangervis Solarte,0.808,443
7539,2017,Neil Walker,0.801,448
10324,2019,Marcell Ozuna,0.8,549
4106,2021,Michael Brantley,0.799,508
13757,2019,Chris Taylor,0.794,414
9847,2018,Andrew McCutchen,0.792,682
11200,2019,Kole Calhoun,0.792,632
19326,2023,Bryan Reynolds,0.79,640
12532,2017,Kolten Wong,0.788,411
17975,2019,Scott Kingery,0.788,500
12907,2016,Gregory Polanco,0.786,587
13145,2022,Josh Bell,0.784,647
11265,2019,Jonathan Schoop,0.777,464
23312,2023,Ryan Noda,0.77,495
19599,2021,Chas McCormick,0.766,320
11739,2023,J.T. Realmuto,0.762,540
2396,2015,Carlos Santana,0.752,666
2900,2015,Roberto Perez,0.751,226
11902,2019,Hanser Alberto,0.751,550
4810,2016,Brian McCann,0.748,492
1738,2015,Jhonny Peralta,0.745,640
11477,2022,Christian Yelich,0.738,671
14813,2021,Kyle Farmer,0.732,529
11602,2017,Yolmer Sanchez,0.732,534
13185,2017,Orlando Arcia,0.731,548
12552,2016,Eugenio Suarez,0.728,627
5933,2022,Jean Segura,0.723,387
8722,2017,Jason Castro,0.72,407
9874,2021,DJ LeMahieu,0.711,679
14109,2018,Albert Almora Jr.,0.701,479
12325,2022,Jace Peterson,0.698,328
14712,2021,Manuel Margot,0.696,464
7087,2015,Caleb Joseph,0.693,355
9166,2019,Buster Posey,0.688,445
22715,2023,Maikel Garcia,0.681,515
15491,2022,J.P. Crawford,0.675,603
19918,2023,Daulton Varsho,0.674,581
5343,2022,Brandon Crawford,0.652,458
16472,2017,Rhys Hoskins,1.014,212
7304,2020,Salvador Perez,0.986,156
15351,2021,Frank Schwindel,0.962,259
7859,2019,Charlie Blackmon,0.94,634
12164,2015,Miguel Sano,0.916,335
1177,2022,Albert Pujols,0.895,351
13359,2016,Tyler Naquin,0.886,365
12564,2020,Trevor Story,0.874,259
17919,2020,Ian Happ,0.866,231
21853,2023,Will Benson,0.863,329
20503,2022,William Contreras,0.86,376
18015,2017,Paul DeJong,0.857,443
589,2016,Carlos Beltran,0.85,593
6876,2016,Mark Trumbo,0.85,667
4613,2015,Prince Fielder,0.841,693
9368,2021,Evan Longoria,0.833,291
8027,2015,Adam Lind,0.82,572
19198,2017,Yuli Gurriel,0.817,564
4949,2016,Giancarlo Stanton,0.815,470
11579,2016,Bryce Harper,0.814,627
25961,2023,Kerry Carpenter,0.811,459
4881,2017,Carlos Gomez,0.802,426
19508,2020,Kyle Lewis,0.801,242
9256,2017,A.J. Pollock,0.801,466
11205,2019,Adam Eaton,0.792,656
16535,2023,Danny Jansen,0.786,301
9253,2016,Keon Broxton,0.784,244
3123,2015,Gregor Blanco,0.781,372
8553,2015,Gerardo Parra,0.78,589
19238,2023,Lourdes Gurriel Jr.,0.772,592
9368,2019,Evan Longoria,0.762,508
18042,2022,Dylan Moore,0.753,255
10071,2021,Jonathan Villar,0.738,505
454,2015,Juan Uribe,0.737,397
17022,2021,Edmundo Sosa,0.735,326
12144,2016,Max Kepler,0.734,447
12294,2015,Cory Spangenberg,0.733,345
18887,2022,Seby Zavala,0.729,205
13675,2022,Tyrone Taylor,0.729,405
9345,2015,Brock Holt,0.727,509
5297,2015,Aaron Hicks,0.721,390
11489,2023,Michael A. Taylor,0.72,388
14161,2016,Byron Buxton,0.714,331
13301,2022,Max Muncy,0.713,565
5491,2018,Austin Romine,0.713,265
4720,2016,Chase Headley,0.712,529
13621,2018,Jeimer Candelario,0.71,619
8709,2019,Elvis Andrus,0.707,648
9134,2018,Tyler Flowers,0.7,296
13355,2018,Luke Maile,0.7,231
27647,2023,Anthony Volpe,0.666,601
18577,2020,Ke'Bryan Hayes,1.124,95
10264,2020,Brandon Belt,1.015,179
23565,2023,Davis Schneider,1.008,141
2434,2020,Nelson Cruz,0.992,214
14854,2020,Mike Yastrzemski,0.968,225
11579,2020,Bryce Harper,0.962,244
7739,2020,Travis d'Arnaud,0.919,184
19197,2019,Will Smith,0.907,196
12856,2020,George Springer,0.899,222
9848,2017,Austin Jackson,0.869,318
16472,2021,Rhys Hoskins,0.864,443
11737,2018,Nick Castellanos,0.854,678
14221,2023,Jorge Soler,0.853,580
16472,2018,Rhys Hoskins,0.85,660
18882,2019,Brandon Lowe,0.85,327
5273,2016,Sandy Leon,0.845,283
16376,2015,Michael Conforto,0.841,194
11739,2020,J.T. Realmuto,0.84,195
12179,2015,Maikel Franco,0.84,335
15676,2019,Jose Abreu,0.834,693
17128,2018,Ramon Laureano,0.832,176
12984,2015,Jackie Bradley Jr.,0.832,255
2434,2021,Nelson Cruz,0.832,584
18036,2020,Jake Cronenworth,0.831,192
15149,2017,Trey Mancini,0.826,586
26323,2023,Spencer Steer,0.82,665
5631,2018,Matt Kemp,0.818,506
1887,2016,Jose Bautista,0.817,517
4969,2016,Luis Valbuena,0.816,342
11339,2017,Jake Marisnick,0.815,259
3256,2017,Welington Castillo,0.813,365
3174,2018,Shin-Soo Choo,0.81,665
5275,2018,Francisco Cervelli,0.809,404
18126,2021,LaMonte Wade Jr.,0.808,381
5223,2016,Cameron Maybin,0.801,391
15223,2018,Adam Frazier,0.798,352
5760,2019,Avisail Garcia,0.796,530
12858,2019,Brian Goodwin,0.796,458
7304,2017,Salvador Perez,0.792,499
18126,2023,LaMonte Wade Jr.,0.79,519
12859,2019,James McCann,0.789,476
4962,2019,Asdrubal Cabrera,0.783,514
5827,2021,Wilmer Flores,0.782,436
19997,2021,Santiago Espinal,0.781,246
21840,2023,Freddy Fermin,0.781,235
17027,2021,Alex Verdugo,0.777,604
2967,2023,Tommy Pham,0.774,481
4892,2018,Mike Moustakas,0.774,635
2636,2015,Brandon Guyer,0.771,385
19566,2021,Nathaniel Lowe,0.771,642
18839,2022,Josh Naylor,0.771,498
15191,2018,Chad Pinder,0.769,333
19363,2021,Austin Hays,0.769,529
11936,2017,Joe Panik,0.768,573
12564,2017,Trevor Story,0.765,555
11615,2017,Brandon Drury,0.764,480
10556,2020,Cesar Hernandez,0.763,261
20454,2023,Jazz Chisholm Jr.,0.761,383
8347,2018,Denard Span,0.76,501
4720,2017,Chase Headley,0.758,586
10324,2018,Marcell Ozuna,0.758,628
15518,2019,Amed Rosario,0.755,655
6153,2015,Eduardo Escobar,0.754,446
19198,2018,Yuli Gurriel,0.751,573
18314,2019,Dansby Swanson,0.748,545
12092,2018,Niko Goodrum,0.747,492
9874,2015,DJ LeMahieu,0.746,620
12984,2019,Jackie Bradley Jr.,0.738,567
6547,2017,Jordy Mercer,0.733,558
4940,2018,Jason Heyward,0.731,489
13613,2022,Ketel Marte,0.727,558
12701,2015,Billy Burns,0.726,555
6153,2022,Eduardo Escobar,0.726,542
13152,2017,Jorge Polanco,0.723,544
17929,2023,Cedric Mullins II,0.721,455
9774,2022,Christian Vazquez,0.714,426
7802,2021,Miguel Rojas,0.713,539
14162,2023,Carlos Correa,0.711,580
7007,2019,Yadier Molina,0.711,452
26668,2023,Elly De La Cruz,0.71,427
10071,2018,Jonathan Villar,0.709,515
8202,2016,Josh Harrison,0.699,522
6547,2018,Jordy Mercer,0.696,436
20126,2022,Dylan Carlson,0.695,488
18577,2021,Ke'Bryan Hayes,0.689,396
12979,2022,Javier Baez,0.671,590
13265,2018,Mike Zunino,0.669,405
12976,2017,Austin Hedges,0.66,417
6887,2018,Martin Maldonado,0.627,404
16376,2020,Michael Conforto,0.927,233
7571,2017,Lonnie Chisenhall,0.881,270
13621,2020,Jeimer Candelario,0.872,206
3353,2016,Matt Joyce,0.866,293
3142,2017,Robinson Chirinos,0.866,309
11899,2018,Joc Pederson,0.843,443
16478,2015,Kyle Schwarber,0.842,273
17919,2017,Ian Happ,0.842,413
18568,2019,Luis Arraez,0.838,366
5485,2017,Jose Pirela,0.837,344
18345,2020,Kyle Tucker,0.837,228
12371,2019,Tommy La Stella,0.832,321
15941,2020,Austin Nola,0.825,184
7996,2018,Jose Martinez,0.821,590
589,2015,Carlos Beltran,0.808,531
15464,2018,Hunter Renfroe,0.805,441
19956,2023,Mickey Moniak,0.802,323
4106,2017,Michael Brantley,0.801,375
17988,2021,Tyler Stephenson,0.797,402
9785,2020,Kyle Seager,0.788,248
19238,2021,Lourdes Gurriel Jr.,0.785,541
5000,2015,Stephen Vogt,0.783,511
11445,2018,Mark Canha,0.778,411
17901,2017,Andrew Benintendi,0.776,658
7331,2015,Seth Smith,0.773,452
785,2019,Todd Frazier,0.772,499
30116,2022,Seiya Suzuki,0.77,446
17719,2021,Steven Duggar,0.767,297
17128,2021,Ramon Laureano,0.76,378
19918,2021,Daulton Varsho,0.755,315
13613,2015,Ketel Marte,0.753,247
19734,2021,Josh Rojas,0.752,550
13152,2022,Jorge Polanco,0.751,445
12916,2020,Francisco Lindor,0.75,266
9874,2018,DJ LeMahieu,0.749,581
5352,2015,Yangervis Solarte,0.748,571
13066,2023,Teoscar Hernandez,0.741,678
9549,2017,David Freese,0.739,503
12144,2017,Max Kepler,0.737,568
5497,2018,Marwin Gonzalez,0.733,552
12856,2023,George Springer,0.732,683
2829,2021,Manny Pina,0.732,208
20454,2021,Jazz Chisholm Jr.,0.728,507
10231,2019,Jose Iglesias,0.724,530
11470,2016,Tony Wolters,0.723,230
12532,2018,Kolten Wong,0.72,407
16530,2023,Mauricio Dubon,0.72,492
9219,2015,Danny Espinosa,0.719,412
5343,2017,Brandon Crawford,0.709,570
9627,2017,Yan Gomes,0.708,383
4727,2016,Jacoby Ellsbury,0.703,626
2829,2018,Manny Pina,0.702,337
10231,2021,Jose Iglesias,0.701,511
9848,2015,Austin Jackson,0.696,527
11936,2016,Joe Panik,0.695,526
10028,2022,Christian Bethancourt,0.692,333
16451,2022,Luis Guillorme,0.691,335
9927,2018,Brett Gardner,0.69,609
5038,2022,Josh Donaldson,0.682,546
12434,2016,Kevin Pillar,0.679,584
4866,2017,Jarrod Dyson,0.674,390
11489,2022,Michael A. Taylor,0.67,456
8709,2015,Elvis Andrus,0.667,661
11339,2015,Jake Marisnick,0.665,372
23401,2023,Jose Caballero,0.663,280
16535,2019,Danny Jansen,0.64,384
10199,2017,Billy Hamilton,0.634,633
18564,2022,Trent Grisham,0.626,524
17452,2022,Jose Siri,0.607,325
9549,2019,David Freese,1.002,186
14366,2022,Joey Meneses,0.93,240
12927,2020,Brandon Nimmo,0.888,225
19238,2019,Lourdes Gurriel Jr.,0.869,343
17484,2022,Eloy Jimenez,0.858,327
5223,2019,Cameron Maybin,0.858,269
22514,2023,Triston Casas,0.856,502
14566,2021,Franmil Reyes,0.846,466
13757,2020,Chris Taylor,0.842,214
9682,2016,Adam Rosales,0.814,248
15676,2018,Jose Abreu,0.798,553
2636,2016,Brandon Guyer,0.795,345
6364,2016,Danny Valencia,0.792,517
11680,2018,Elias Diaz,0.792,277
14593,2019,David Bote,0.785,356
19858,2023,Luis Rengifo,0.783,445
11493,2017,Manny Machado,0.782,690
11442,2023,Gary Sanchez,0.78,267
18373,2023,Ryan Mountcastle,0.779,470
15464,2019,Hunter Renfroe,0.778,494
14854,2023,Mike Yastrzemski,0.775,381
5222,2016,Justin Upton,0.775,626
11680,2021,Elias Diaz,0.774,371
22168,2021,Akil Baddoo,0.766,461
9549,2016,David Freese,0.764,492
11609,2020,Willson Contreras,0.763,225
10816,2018,Jedd Gyorko,0.762,402
11445,2023,Mark Canha,0.755,507
13620,2021,Carson Kelly,0.754,359
11738,2018,Christian Villanueva,0.75,384
11146,2016,Cameron Rupp,0.75,419
18171,2022,Seth Brown,0.749,555
16337,2022,Nick Gordon,0.743,443
10556,2019,Cesar Hernandez,0.741,667
16578,2021,Yandy Diaz,0.74,541
17907,2022,Brendan Rodgers,0.733,581
4616,2017,Russell Martin,0.731,365
2136,2022,David Peralta,0.731,490
18373,2022,Ryan Mountcastle,0.729,609
19858,2022,Luis Rengifo,0.724,511
19363,2022,Austin Hays,0.719,582
21558,2023,Matt Vierling,0.717,530
5827,2015,Wilmer Flores,0.703,510
18314,2018,Dansby Swanson,0.699,533
14712,2019,Manuel Margot,0.691,441
6609,2017,Freddy Galvis,0.69,663
13757,2022,Chris Taylor,0.677,454
18564,2023,Trent Grisham,0.666,555
2900,2017,Roberto Perez,0.664,248
5517,2022,Kyle Higashioka,0.653,248
10231,2016,Jose Iglesias,0.643,513
10199,2018,Billy Hamilton,0.626,556
8709,2021,Elvis Andrus,0.614,541
14811,2018,Luke Voit,1.069,161
10231,2020,Jose Iglesias,0.956,150
7996,2017,Jose Martinez,0.897,307
13110,2017,Yoenis Cespedes,0.892,321
9957,2018,Steve Pearce,0.89,251
15564,2018,Tyler White,0.888,237
26466,2023,Matt Wallner,0.877,254
13744,2019,David Dahl,0.877,413
12161,2020,Xander Bogaerts,0.867,225
1907,2015,Andres Blanco,0.863,261
4940,2020,Jason Heyward,0.848,181
19755,2019,Shohei Ohtani,0.848,425
17027,2020,Alex Verdugo,0.844,221
7476,2017,Alex Avila,0.834,376
9549,2018,David Freese,0.83,312
2967,2015,Tommy Pham,0.824,173
10323,2021,Rafael Ortega,0.823,330
3410,2017,Ryan Braun,0.823,425
19352,2020,Sean Murphy,0.821,140
18289,2020,Brian Anderson,0.81,229
2136,2019,David Peralta,0.804,423
6848,2017,Eduardo Nunez,0.801,491
4022,2016,Melky Cabrera,0.8,646
8347,2015,Denard Span,0.796,275
2136,2017,David Peralta,0.796,577
9272,2016,Chris Davis,0.792,665
5343,2020,Brandon Crawford,0.792,193
12225,2017,Scott Schebler,0.791,531
15998,2020,Cody Bellinger,0.789,243
1177,2015,Albert Pujols,0.787,661
14950,2017,Johan Camargo,0.783,256
9345,2018,Brock Holt,0.774,367
11368,2020,Yasmani Grandal,0.773,194
9810,2019,Brian Dozier,0.771,482
7927,2017,Eric Sogard,0.77,299
10243,2016,Randal Grichuk,0.769,478
15487,2019,Victor Reyes,0.767,292
11281,2020,Whit Merrifield,0.764,265
12037,2019,Jon Berti,0.755,287
15112,2023,Ryan McMahon,0.753,627
1857,2016,Joe Mauer,0.752,576
2829,2017,Manny Pina,0.751,359
4727,2017,Jacoby Ellsbury,0.75,409
18819,2023,Andy Ibanez,0.744,383
19238,2022,Lourdes Gurriel Jr.,0.743,493
5933,2019,Jean Segura,0.743,618
21897,2022,Christopher Morel,0.741,425
15274,2023,Mike Tauchman,0.739,401
7739,2017,Travis d'Arnaud,0.735,376
18568,2021,Luis Arraez,0.733,479
1101,2016,Ichiro Suzuki,0.73,365
2136,2021,David Peralta,0.728,538
8090,2019,Matt Carpenter,0.726,492
11379,2015,Delino DeShields,0.718,492
7870,2015,Jonathan Lucroy,0.717,415
3707,2015,Geovany Soto,0.708,210
12434,2018,Kevin Pillar,0.708,542
14813,2022,Kyle Farmer,0.701,583
14854,2022,Mike Yastrzemski,0.697,558
4720,2015,Chase Headley,0.693,642
8202,2022,Josh Harrison,0.687,425
6195,2018,Ian Kinsler,0.681,534
6609,2016,Freddy Galvis,0.673,624
12144,2022,Max Kepler,0.666,446
11038,2018,Kevin Kiermaier,0.653,367
6609,2015,Freddy Galvis,0.645,603
16512,2022,Isiah Kiner-Falefa,0.642,531
13624,2015,Corey Seager,0.986,113
13130,2015,Mikie Mahtook,0.97,115
8252,2019,Hunter Pence,0.91,316
17484,2020,Eloy Jimenez,0.891,226
15482,2019,Aristides Aquino,0.891,225
9957,2016,Steve Pearce,0.867,302
17988,2022,Tyler Stephenson,0.854,183
5827,2019,Wilmer Flores,0.848,285
10472,2015,Enrique Hernandez,0.836,218
10950,2023,Adam Duvall,0.834,353
11270,2015,Aaron Altherr,0.827,161
5254,2020,Robbie Grossman,0.826,192
4220,2018,Ryan Zimmerman,0.824,323
5452,2019,Ji-Man Choi,0.822,487
21897,2023,Christopher Morel,0.821,429
16578,2019,Yandy Diaz,0.816,347
8623,2019,Donovan Solano,0.815,228
