IDfg,Season,Name,OPS,PA
9166,2021,Buster Posey,0.889,454
8090,2015,Matt Carpenter,0.871,665
11477,2016,Christian Yelich,0.859,659
5417,2021,Jose Altuve,0.839,678
4747,2015,Curtis Granderson,0.821,682
11368,2018,Yasmani Grandal,0.815,518
19352,2022,Sean Murphy,0.759,612
17232,2019,Yoan Moncada,0.915,559
1887,2015,Jose Bautista,0.913,666
5038,2019,Josh Donaldson,0.9,659
3473,2015,Anthony Rizzo,0.899,701
6184,2015,J.D. Martinez,0.879,657
639,2016,Adrian Beltre,0.879,640
13624,2016,Corey Seager,0.877,687
9241,2021,Starling Marte,0.841,526
12916,2016,Francisco Lindor,0.794,684
16252,2018,Trea Turner,0.76,740
11368,2015,Yasmani Grandal,0.756,426
15640,2018,Aaron Judge,0.919,498
18360,2021,Austin Riley,0.898,662
13510,2016,Jose Ramirez,0.825,618
4418,2018,Jed Lowrie,0.801,680
4314,2016,Joey Votto,0.985,677
19755,2021,Shohei Ohtani,0.965,639
2434,2015,Nelson Cruz,0.936,655
16578,2023,Yandy Diaz,0.932,600
18345,2021,Kyle Tucker,0.917,567
9874,2016,DJ LeMahieu,0.911,635
14344,2021,Matt Olson,0.911,673
5417,2019,Jose Altuve,0.903,548
12927,2018,Brandon Nimmo,0.886,535
17350,2022,Rafael Devers,0.879,614
18360,2023,Austin Riley,0.861,715
14274,2018,Mitch Haniger,0.859,683
13624,2017,Corey Seager,0.854,613
11281,2018,Whit Merrifield,0.806,707
9077,2017,Lorenzo Cain,0.803,645
5038,2017,Josh Donaldson,0.944,496
14162,2017,Carlos Correa,0.941,481
3473,2016,Anthony Rizzo,0.928,676
18345,2023,Kyle Tucker,0.886,674
11982,2017,Travis Shaw,0.862,606
9166,2017,Buster Posey,0.861,568
20043,2023,Luis Robert,0.857,595
19352,2023,Sean Murphy,0.844,438
19612,2021,Bo Bichette,0.828,690
23667,2023,Wander Franco,0.819,491
18345,2022,Kyle Tucker,0.808,609
15640,2023,Aaron Judge,1.019,458
5361,2021,Freddie Freeman,0.896,695
18401,2019,Ronald Acuna Jr.,0.883,715
9218,2021,Paul Goldschmidt,0.879,679
25931,2022,Michael Harris II,0.853,441
13611,2015,Mookie Betts,0.82,654
13611,2017,Mookie Betts,0.803,712
19612,2022,Bo Bichette,0.802,697
8203,2015,Dee Strange-Gordon,0.776,653
24610,2022,Steven Kwan,0.772,638
10847,2017,Andrelton Simmons,0.752,647
4316,2016,Daniel Murphy,0.985,582
19251,2019,Pete Alonso,0.941,693
15362,2019,Jeff McNeil,0.916,567
12564,2018,Trevor Story,0.914,656
2396,2019,Carlos Santana,0.911,686
13510,2023,Jose Ramirez,0.831,691
17678,2017,Alex Bregman,0.827,626
15491,2023,J.P. Crawford,0.818,638
26289,2023,Gunnar Henderson,0.814,622
12161,2023,Xander Bogaerts,0.79,665
18314,2023,Dansby Swanson,0.744,638
745,2016,David Ortiz,1.021,626
1744,2015,Miguel Cabrera,0.974,511
7859,2016,Charlie Blackmon,0.933,641
9218,2018,Paul Goldschmidt,0.922,690
2434,2016,Nelson Cruz,0.915,667
5361,2018,Freddie Freeman,0.892,707
12161,2018,Xander Bogaerts,0.883,580
19197,2021,Will Smith,0.86,501
13757,2017,Chris Taylor,0.85,568
14162,2022,Carlos Correa,0.834,590
11739,2018,J.T. Realmuto,0.825,531
11739,2021,J.T. Realmuto,0.782,537
12161,2015,Xander Bogaerts,0.776,654
2434,2019,Nelson Cruz,1.031,521
5361,2017,Freddie Freeman,0.989,514
2151,2015,Edwin Encarnacion,0.929,624
9777,2015,Nolan Arenado,0.898,665
13301,2021,Max Muncy,0.895,592
5760,2017,Avisail Garcia,0.885,561
15172,2019,Tim Anderson,0.865,518
18882,2021,Brandon Lowe,0.863,615
11265,2017,Jonathan Schoop,0.841,675
11493,2021,Manny Machado,0.836,640
9776,2015,Jason Kipnis,0.823,641
17678,2023,Alex Bregman,0.804,724
7007,2016,Yadier Molina,0.787,581
4616,2015,Russell Martin,0.787,507
11739,2017,J.T. Realmuto,0.783,579
21479,2023,Nico Hoerner,0.729,688
14161,2017,Byron Buxton,0.728,511
18401,2021,Ronald Acuna Jr.,0.99,360
5361,2019,Freddie Freeman,0.938,692
18401,2018,Ronald Acuna Jr.,0.917,487
5497,2017,Marwin Gonzalez,0.907,515
15676,2017,Jose Abreu,0.906,675
15429,2019,Kris Bryant,0.903,634
5222,2017,Justin Upton,0.901,635
9218,2016,Paul Goldschmidt,0.899,705
3473,2017,Anthony Rizzo,0.899,691
12552,2018,Eugenio Suarez,0.892,606
12856,2017,George Springer,0.889,629
13301,2019,Max Muncy,0.889,589
7870,2016,Jonathan Lucroy,0.855,544
16252,2019,Trea Turner,0.85,569
13613,2023,Ketel Marte,0.844,650
13265,2017,Mike Zunino,0.84,435
19287,2023,Adolis Garcia,0.836,632
5235,2016,Justin Turner,0.832,622
17901,2018,Andrew Benintendi,0.83,661
5417,2015,Jose Altuve,0.812,689
13836,2015,Matt Duffy,0.762,612
15986,2022,Willy Adames,0.756,617
19918,2022,Daulton Varsho,0.745,592
6184,2017,J.D. Martinez,1.066,489
19556,2023,Yordan Alvarez,0.99,496
13301,2018,Max Muncy,0.973,481
12552,2019,Eugenio Suarez,0.93,662
15998,2023,Cody Bellinger,0.881,556
4062,2016,Dexter Fowler,0.84,551
20036,2023,Isaac Paredes,0.84,571
9134,2017,Tyler Flowers,0.823,370
12856,2016,George Springer,0.815,744
14128,2021,Joey Gallo,0.808,616
