away_team,away_score,away_team_xwoba_diff,away_lineup_xwoba,away_team_xfip,away_starter_xfip,away_close_win_pct,away_run_diff,home_team,home_score,home_team_xwoba_diff,home_lineup_xwoba,home_team_xfip,home_starter_xfip,home_close_win_pct,home_run_diff
SF,5,-0.013949999999999999,0.324623035548816,4.3175,3.6649265262020525,0.48152804642166336,-50.85,AZ,6,0.0029,0.31277355304503207,4.0145,3.477347067238913,0.5438228438228437,58.349999999999994
CHC,3,0.0179,0.3205549707854116,3.9004999999999996,3.5721621836340938,0.5777401926239135,151.35,STL,4,0.02085,0.3125340193499018,3.9985,3.6091176132113474,0.48663041494835957,68.65
NYY,3,0.0218,0.3324332499775731,3.812,3.46008658008658,0.485525467440361,123.2,TB,7,0.0011499999999999998,0.3115921638093869,4.22,3.293424415133257,0.4308928571428571,-15.95
PHI,4,-0.024399999999999998,0.29916815153786475,4.395999999999999,4.798099532398129,0.41412148702810375,-129.14999999999998,CIN,3,-0.0165,0.3183965934170719,4.6145,4.147017555705605,0.39254884932696477,-121.19999999999999
SD,3,-0.026299999999999997,0.27554041169303317,4.265499999999999,4.387310590922067,0.47174418604651164,-160.35,LAD,14,0.044449999999999996,0.32795799998620784,3.657,2.517291741579767,0.542269635126778,146.55
COL,7,-0.01285,0.31219024312661725,4.263,3.5588136977694,0.5219318181818181,20.399999999999995,MIL,5,-0.0092,0.31326813113896834,4.259499999999999,5.06381025248661,0.5068940342094284,-6.799999999999999
ATL,0,-0.0131,0.30974394024634694,4.5760000000000005,4.563091734628955,0.47851365015166836,-113.95,NYM,6,0.004549999999999999,0.32557958769135975,4.137,2.645783282869988,0.4895093356491532,-52.8
MIA,2,-0.013099999999999999,0.33038306252446503,4.627,4.596410554747559,0.4679743083003952,-42.9,WSH,4,0.0263,0.3238523788547916,3.964,3.1380117193294765,0.5723856209150326,136.15
TOR,2,0.0112,0.33243580222768737,4.242,4.932603437691835,0.46079563881946684,1.7999999999999972,BAL,3,-0.007549999999999999,0.3285529347907271,4.523,4.0721378708551486,0.5227383768273295,-48.55
PIT,3,-0.0081,0.32455182963378904,4.202,3.709892473118279,0.49656528469229794,-29.9,BOS,5,0.006999999999999999,0.31679879937755406,4.0169999999999995,4.133827509335117,0.5125106600716356,115.45
SEA,0,0.0023,0.326119810644743,4.425,3.9720824820279987,0.5791720154043646,-8.45,HOU,3,0.027600000000000003,0.33491239709957354,3.7859999999999996,3.2387190022010266,0.5513254716981133,140.0
KC,1,-0.009349999999999999,0.31687848568236776,4.528,4.261933911159264,0.571895325203252,-50.2,MIN,7,-0.017099999999999997,0.3160124281794279,4.5895,4.548893109422897,0.4347838137472283,-26.150000000000002
