away_team,away_score,away_team_ops,away_lineup_ops,away_team_era,away_starter_era,away_close_win_pct,away_run_diff,home_team,home_score,home_team_ops,home_lineup_ops,home_team_era,home_starter_era,home_close_win_pct,home_run_diff
COL,2,0.7793,0.7888689041937269,4.692,4.256348727615458,0.5219318181818181,20.399999999999995,AZ,8,0.7631,0.7413495911086034,4.082,4.280229312218599,0.5438228438228437,58.349999999999994
PHI,5,0.70765,0.7274955612704068,4.6055,3.8840829122215985,0.41412148702810375,-129.14999999999998,ATL,8,0.72015,0.7070152254161195,4.6209999999999996,4.040371623575684,0.47851365015166836,-113.95
SF,1,0.7051999999999999,0.7708249650750623,4.1819999999999995,4.779999999999999,0.48152804642166336,-50.85,LAD,0,0.7554500000000001,0.7516424961497578,3.4720000000000004,2.1082543449598465,0.542269635126778,146.55
CHC,8,0.7658499999999999,0.7650140313302924,3.6615,3.5839673135852905,0.5777401926239135,151.35,MIA,4,0.7396999999999999,0.6597829868443237,4.5104999999999995,4.645308673469387,0.4679743083003952,-42.9
STL,4,0.7553999999999998,0.7848063428435696,3.8669999999999995,3.3446816847919902,0.48663041494835957,68.65,NYM,9,0.74305,0.7494593671362026,4.4185,2.9102998440223877,0.4895093356491532,-52.8
MIL,2,0.73785,0.7292742449532448,4.067,3.536138357705287,0.5068940342094284,-6.799999999999999,SD,1,0.6901999999999999,0.693219631156918,4.5435,4.299961705831158,0.47174418604651164,-160.35
MIN,2,0.7509,0.765989479448058,4.643,3.8406061940995855,0.4347838137472283,-26.150000000000002,BAL,3,0.7474,0.7598524576224412,4.6445,4.18544235924933,0.5227383768273295,-48.55
CWS,14,0.72325,0.7374693147797093,4.494999999999999,5.098443067492838,0.4706693729998815,-87.49999999999999,KC,7,0.7267,0.7041341216554093,4.3915,3.774731310942579,0.571895325203252,-50.2
LAA,5,0.714,0.778424276442781,4.181,2.781784605834885,0.5464386482243625,-4.0,OAK,6,0.7337999999999999,0.7960100245908635,4.5535,4.137227336122733,0.4707023060796645,-84.44999999999999
CLE,1,0.7713,0.7867292379525576,3.497,2.765293866500052,0.5538961038961038,182.0,SEA,2,0.7466999999999999,0.7742173524011322,4.3,3.9980707529322737,0.5791720154043646,-8.45
BOS,4,0.7551,0.8025670652217108,3.889,3.1300696479054224,0.5125106600716356,115.45,TB,6,0.7346499999999999,0.6984288016369781,4.005,3.875547033599305,0.4308928571428571,-15.95
HOU,4,0.79035,0.8170622825256236,4.0225,3.2656553652363294,0.5513254716981133,140.0,TEX,1,0.7495999999999999,0.7692908972935397,4.5525,3.824122493902076,0.48495323373742827,-5.5
NYY,6,0.7626000000000001,0.8190982433244687,3.8945,3.6470637645616186,0.485525467440361,123.2,TOR,1,0.7427,0.7868750374330031,4.171,3.444198333658791,0.46079563881946684,1.7999999999999972
COL,8,0.7793,0.8035990161783739,4.692,4.429503087498543,0.5219318181818181,20.399999999999995,AZ,9,0.7631,0.7377763342327429,4.082,3.5974301748327218,0.5438228438228437,58.349999999999994
PHI,5,0.70765,0.7728685669159173,4.6055,6.019999999999999,0.41412148702810375,-129.14999999999998,ATL,4,0.72015,0.748701775872235,4.6209999999999996,4.8205484906872185,0.47851365015166836,-113.95
WSH,2,0.7655500000000001,0.7669120988079131,3.751,2.697560040619446,0.5723856209150326,136.15,CIN,0,0.7434999999999999,0.7761277821411409,4.981999999999999,6.47489430894309,0.39254884932696477,-121.19999999999999
SF,1,0.7051999999999999,0.7244845395431474,4.1819999999999995,3.7731127442503887,0.48152804642166336,-50.85,LAD,0,0.7554500000000001,0.7289513193832673,3.4720000000000004,3.2267118418867304,0.542269635126778,146.55
CHC,1,0.7658499999999999,0.7477274372789676,3.6615,2.9684650432050272,0.5777401926239135,151.35,MIA,2,0.7396999999999999,0.7126227300438948,4.5104999999999995,4.365904705721529,0.4679743083003952,-42.9
MIL,8,0.73785,0.7495893092954944,4.067,4.105681891711867,0.5068940342094284,-6.799999999999999,SD,6,0.6901999999999999,0.7294477522056707,4.5435,4.365904705721529,0.47174418604651164,-160.35
PIT,13,0.7137499999999999,0.7443636904062423,4.0775,4.307435665914221,0.49656528469229794,-29.9,DET,10,0.75325,0.7179210890037386,4.9719999999999995,5.1922196725999,0.4874127906976744,-105.24999999999999
LAA,2,0.714,0.7856665795897518,4.181,4.45823600973236,0.5464386482243625,-4.0,OAK,1,0.7337999999999999,0.781115281796634,4.5535,4.23177811550152,0.4707023060796645,-84.44999999999999
BOS,1,0.7551,0.8025670652217108,3.889,3.3432558967512236,0.5125106600716356,115.45,TB,0,0.7346499999999999,0.6946149285774379,4.005,3.9139439324116743,0.4308928571428571,-15.95
HOU,1,0.79035,0.8053835132393956,4.0225,3.242904622157006,0.5513254716981133,140.0,TEX,5,0.7495999999999999,0.7692908972935397,4.5525,4.668915326902465,0.48495323373742827,-5.5
NYY,4,0.7626000000000001,0.7819739512784813,3.8945,4.011115377376247,0.485525467440361,123.2,TOR,2,0.7427,0.7835783666526862,4.171,3.589960012496095,0.46079563881946684,1.7999999999999972
COL,2,0.7793,0.758852126126422,4.692,4.546432306798373,0.5219318181818181,20.399999999999995,AZ,1,0.7631,0.729279353344884,4.082,3.1511035765379116,0.5438228438228437,58.349999999999994
PHI,2,0.70765,0.7962464473152084,4.6055,4.660696359411308,0.41412148702810375,-129.14999999999998,ATL,15,0.72015,0.7235424895306057,4.6209999999999996,4.507363402061856,0.47851365015166836,-113.95
WSH,13,0.7655500000000001,0.7720827939192006,3.751,3.0005346387776295,0.5723856209150326,136.15,CIN,7,0.7434999999999999,0.7938132014214713,4.981999999999999,3.1200000000000006,0.39254884932696477,-121.19999999999999
SF,0,0.7051999999999999,0.7705790281161315,4.1819999999999995,5.630728604728605,0.48152804642166336,-50.85,LAD,5,0.7554500000000001,0.7616575862260029,3.4720000000000004,3.999201623815967,0.542269635126778,146.55
CHC,10,0.7658499999999999,0.8013490983263076,3.6615,3.753222222222222,0.5777401926239135,151.35,MIA,6,0.7396999999999999,0.7126566364892145,4.5104999999999995,4.949331146516713,0.4679743083003952,-42.9
STL,2,0.7553999999999998,0.7553992489240096,3.8669999999999995,4.210451235460114,0.48663041494835957,68.65,NYM,6,0.74305,0.7204152052026763,4.4185,3.187875578596556,0.4895093356491532,-52.8
MIL,7,0.73785,0.7728526520125966,4.067,3.3994843863471313,0.5068940342094284,-6.799999999999999,SD,3,0.6901999999999999,0.6940152284262783,4.5435,4.950575539568345,0.47174418604651164,-160.35
MIN,6,0.7509,0.7604967131854654,4.643,4.787532745844182,0.4347838137472283,-26.150000000000002,BAL,2,0.7474,0.7675525261048979,4.6445,4.090716417910447,0.5227383768273295,-48.55
CWS,4,0.72325,0.7374693147797093,4.494999999999999,3.3844848757112906,0.4706693729998815,-87.49999999999999,KC,3,0.7267,0.7043498710949633,4.3915,4.65368773761196,0.571895325203252,-50.2
LAA,8,0.714,0.7755207547965425,4.181,4.308393410332169,0.5464386482243625,-4.0,OAK,3,0.7337999999999999,0.7874561910151588,4.5535,4.210379746835443,0.4707023060796645,-84.44999999999999
CLE,6,0.7713,0.7763070765606433,3.497,3.370986900938346,0.5538961038961038,182.0,SEA,5,0.7466999999999999,0.7742173524011322,4.3,3.3712489711934155,0.5791720154043646,-8.45
BOS,3,0.7551,0.7781028851620082,3.889,4.266458284567798,0.5125106600716356,115.45,TB,2,0.7346499999999999,0.7039347325360601,4.005,4.365904705721529,0.4308928571428571,-15.95
HOU,9,0.79035,0.8122092396044193,4.0225,3.7570986436498153,0.5513254716981133,140.0,TEX,3,0.7495999999999999,0.7628545880992421,4.5525,5.048164522058823,0.48495323373742827,-5.5
NYY,3,0.7626000000000001,0.7792650657396396,3.8945,3.974386248736097,0.485525467440361,123.2,TOR,5,0.7427,0.7336430526138557,4.171,4.1773818293431555,0.46079563881946684,1.7999999999999972
WSH,6,0.7655500000000001,0.741995188626575,3.751,3.5707146213627325,0.5723856209150326,136.15,CIN,5,0.7434999999999999,0.7502408496170342,4.981999999999999,4.449999999999999,0.39254884932696477,-121.19999999999999
SF,0,0.7051999999999999,0.7794424860524112,4.1819999999999995,3.6799999999999997,0.48152804642166336,-50.85,LAD,9,0.7554500000000001,0.7811733106174639,3.4720000000000004,2.72006890266132,0.542269635126778,146.55
CHC,0,0.7658499999999999,0.7774121929534951,3.6615,3.7131985167967243,0.5777401926239135,151.35,MIA,6,0.7396999999999999,0.6886117422927981,4.5104999999999995,5.17,0.4679743083003952,-42.9
STL,5,0.7553999999999998,0.8198720100617518,3.8669999999999995,4.323452761782896,0.48663041494835957,68.65,NYM,1,0.74305,0.7461191641201323,4.4185,4.555488222698072,0.4895093356491532,-52.8
MIN,7,0.7509,0.759419300979434,4.643,4.807843615494979,0.4347838137472283,-26.150000000000002,BAL,0,0.7474,0.7818095160415061,4.6445,4.291164397905759,0.5227383768273295,-48.55
PIT,1,0.7137499999999999,0.7443636904062423,4.0775,4.07,0.49656528469229794,-29.9,DET,0,0.75325,0.7259395296479153,4.9719999999999995,3.6179366707700726,0.4874127906976744,-105.24999999999999
PIT,8,0.7137499999999999,0.715986935520846,4.0775,4.3158688865764825,0.49656528469229794,-29.9,DET,6,0.75325,0.7020268705915984,4.9719999999999995,4.365904705721529,0.4874127906976744,-105.24999999999999
LAA,7,0.714,0.7745617472587669,4.181,4.365904705721529,0.5464386482243625,-4.0,OAK,4,0.7337999999999999,0.7960100245908635,4.5535,6.11,0.4707023060796645,-84.44999999999999
CLE,4,0.7713,0.7877453365739753,3.497,4.284804341142471,0.5538961038961038,182.0,SEA,5,0.7466999999999999,0.7498332408868129,4.3,4.0825308552869,0.5791720154043646,-8.45
BOS,2,0.7551,0.7767879216218003,3.889,2.9200000000000004,0.5125106600716356,115.45,TB,1,0.7346499999999999,0.7146544639865005,4.005,3.4299999999999997,0.4308928571428571,-15.95
HOU,8,0.79035,0.7954682701137404,4.0225,3.784392156862745,0.5513254716981133,140.0,TEX,2,0.7495999999999999,0.7516612368653587,4.5525,2.5499999999999994,0.48495323373742827,-5.5
NYY,4,0.7626000000000001,0.7458839069730343,3.8945,3.8792892629850133,0.485525467440361,123.2,TOR,7,0.7427,0.7697698641765754,4.171,3.3332314814814814,0.46079563881946684,1.7999999999999972
LAD,7,0.7554500000000001,0.78712247275991,3.4720000000000004,3.7699999999999996,0.542269635126778,146.55,AZ,8,0.7631,0.752549206625031,4.082,3.9206193165363454,0.5438228438228437,58.349999999999994
WSH,8,0.7655500000000001,0.7375802100346963,3.751,4.056440483303459,0.5723856209150326,136.15,ATL,1,0.72015,0.7235424895306057,4.6209999999999996,4.32,0.47851365015166836,-113.95
CHC,0,0.7658499999999999,0.7909807163506974,3.6615,4.457872089596228,0.5777401926239135,151.35,CIN,1,0.7434999999999999,0.7710355885373866,4.981999999999999,2.7000000000000006,0.39254884932696477,-121.19999999999999
BOS,7,0.7551,0.7719659785956655,3.889,4.33,0.5125106600716356,115.45,MIA,3,0.7396999999999999,0.7126566364892145,4.5104999999999995,4.365904705721529,0.4679743083003952,-42.9
STL,8,0.7553999999999998,0.8198720100617518,3.8669999999999995,4.365904705721529,0.48663041494835957,68.65,MIL,4,0.73785,0.7441901258609026,4.067,3.896923063712863,0.5068940342094284,-6.799999999999999
MIN,4,0.7509,0.7051241540523214,4.643,3.3473421036603934,0.4347838137472283,-26.150000000000002,PIT,5,0.7137499999999999,0.7395147111755179,4.0775,4.164125269978403,0.49656528469229794,-29.9
COL,7,0.7793,0.7787283794044398,4.692,4.787664842024392,0.5219318181818181,20.399999999999995,SD,4,0.6901999999999999,0.7358697164972832,4.5435,5.242390432098765,0.47174418604651164,-160.35
CLE,6,0.7713,0.7867292379525576,3.497,3.5969160460392686,0.5538961038961038,182.0,LAA,0,0.714,0.7745617472587669,4.181,4.357723004694836,0.5464386482243625,-4.0
KC,1,0.7267,0.702144434980337,4.3915,4.564811552113585,0.571895325203252,-50.2,DET,6,0.75325,0.7222876433551209,4.9719999999999995,4.835068130883012,0.4874127906976744,-105.24999999999999
BAL,1,0.7474,0.7738228300986668,4.6445,5.968683409436834,0.5227383768273295,-48.55,HOU,6,0.79035,0.8110133716189634,4.0225,3.860428571428571,0.5513254716981133,140.0
