"pitches","player_id","player_name","year","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp","bat_speed","swing_length"
23543,117,"HOU",2015,23543,100,0.25,0.187,0.292,0.437,0.325,0.311,0.237,1363,5459,88.6,13.1,2131,88.2,87.36,2933,11293,12158,-0.7999999999999972,5.9,109,150,111,146,290,315,293,"-40.2","40.2",,
23784,109,"AZ",2023,23784,100,0.25,0.158,0.293,0.408,0.317,0.311,0.246,1359,5435,88,10.2,2253,88.9,89.12,2442,10828,12956,0.19999999999998863,6.42,111,148,114,149,298,325,298,"13.7","-13.7",,
22727,108,"LAA",2015,22727,100,0.246,0.15,0.28,0.396,0.305,0.311,0.248,1331,5417,87.7,11.1,2140,88.5,87.59,2230,10444,12143,-0.9000000000000057,5.99,108,149,110,146,296,313,293,"34.2","-34.2",,
23079,114,"CLE",2021,23079,100,0.238,0.169,0.282,0.407,0.306,0.311,0.243,1269,5332,88.2,11.8,2219,88.6,88.71,2898,11020,12059,0.10000000000000853,6.26,109,154,116,148,296,320,293,"15.8","-15.8",,
23027,108,"LAA",2021,23027,100,0.245,0.162,0.294,0.407,0.308,0.311,0.246,1331,5437,87,11.8,2232,88.8,88.73,2771,11067,11960,-0.09999999999999432,6.3,110,153,118,148,301,321,294,"25.8","-25.8",,
24391,158,"MIL",2023,24391,100,0.24,0.146,0.292,0.385,0.309,0.311,0.239,1290,5382,88,11.4,2250,88.7,89.01,2863,11057,13332,0.29999999999999716,6.47,110,149,118,148,298,321,293,"22.4","-22.4",,
24519,140,"TEX",2018,24519,100,0.24,0.164,0.292,0.404,0.315,0.311,0.232,1308,5453,88,11.9,2239,88.5,87.95,2911,11228,13288,-0.5999999999999943,5.98,110,152,114,149,294,321,296,"-1.6","1.6",,
22754,118,"KC",2021,22754,100,0.249,0.147,0.292,0.396,0.304,0.311,0.247,1349,5427,88.2,12.1,2231,88.8,88.77,2919,11454,11298,0,6.24,108,153,115,148,300,324,299,"64","-64",,
23897,139,"TB",2017,23897,100,0.245,0.178,0.296,0.422,0.316,0.31,0.235,1340,5478,87.1,12.1,2243,88.6,87.96,3300,11732,12159,-0.5999999999999943,6.02,109,153,113,148,295,323,295,"71.4","-71.4",,
23310,114,"CLE",2023,23310,100,0.25,0.131,0.292,0.382,0.302,0.31,0.259,1379,5512,87,11.4,2259,88.8,89.09,2545,11561,11743,0.29999999999999716,6.45,111,147,114,148,290,318,291,"105.9","-105.9",,
