team,year,xwoba_diff
ATL,2023,0.046999999999999986
LAD,2020,0.07100000000000001
SD,2020,0.04299999999999998
ATL,2020,0.034999999999999976
NYY,2020,0.03699999999999998
MIN,2019,0.03199999999999997
LAD,2023,0.03200000000000003
PHI,2020,0.016000000000000014
BOS,2018,0.038000000000000034
TOR,2021,0.028000000000000025
DET,2016,0.028000000000000025
NYY,2019,0.029000000000000026
HOU,2019,0.05300000000000005
BOS,2019,0.02200000000000002
OAK,2019,0.02300000000000002
ATL,2019,0.016000000000000014
WSH,2019,0.02200000000000002
TEX,2023,0.02400000000000002
HOU,2021,0.027000000000000024
CLE,2017,0.040000000000000036
HOU,2017,0.03400000000000003
LAD,2019,0.05300000000000005
MIN,2021,0.0030000000000000027
DET,2017,-0.0040000000000000036
BOS,2021,0.02300000000000002
LAD,2017,0.050000000000000044
TOR,2015,0.025000000000000022
CLE,2018,0.03500000000000003
STL,2023,-0.0040000000000000036
HOU,2023,0.01200000000000001
NYY,2017,0.03200000000000003
NYY,2018,0.03300000000000003
TOR,2020,0.0050000000000000044
NYM,2020,0.0050000000000000044
ATL,2021,0.020000000000000018
OAK,2018,0.014000000000000012
LAA,2020,0.006000000000000005
STL,2017,0.02300000000000002
NYY,2021,0.03300000000000003
LAD,2022,0.05299999999999999
ATL,2022,0.039000000000000035
NYY,2022,0.040000000000000036
SF,2020,0.0040000000000000036
CIN,2020,0.039000000000000035
SD,2023,0.020000000000000018
LAD,2021,0.04799999999999999
LAD,2018,0.04400000000000004
WSH,2020,-0.014000000000000012
WSH,2021,-0.0020000000000000018
OAK,2017,-0.0040000000000000036
TB,2019,0.039000000000000035
BAL,2016,0.013000000000000012
CHC,2017,0.013000000000000012
TOR,2016,0.013000000000000012
STL,2016,0.02100000000000002
OAK,2021,0.010000000000000009
OAK,2020,0.020000000000000018
PHI,2023,0.02200000000000002
TOR,2022,0.013000000000000012
CWS,2020,0.0010000000000000009
TOR,2018,0.0050000000000000044
SEA,2023,0.02100000000000002
WSH,2018,0.016000000000000014
LAD,2015,0.04300000000000004
CWS,2021,0.030000000000000027
MIN,2023,0.028000000000000025
SEA,2016,0.008000000000000007
CHC,2019,0.0050000000000000044
CIN,2021,0.018000000000000016
TOR,2023,0.014000000000000012
BOS,2016,0.016000000000000014
CHC,2023,0.0050000000000000044
SF,2021,0.027000000000000024
MIL,2019,0.010000000000000009
MIN,2017,-0.009000000000000008
MIL,2020,0.029000000000000026
WSH,2017,0.025000000000000022
CHC,2016,0.029000000000000026
LAA,2019,-0.007000000000000006
NYY,2023,0.01100000000000001
HOU,2022,0.040000000000000036
DET,2015,0.0030000000000000027
NYM,2019,0.02300000000000002
TB,2023,0.02200000000000002
MIN,2022,0.014000000000000012
SEA,2018,0.0050000000000000044
SEA,2015,0.010000000000000009
CLE,2016,0.017000000000000015
MIN,2020,0.016000000000000014
SEA,2017,-0.0020000000000000018
NYM,2023,-0.0020000000000000018
PHI,2022,0.02300000000000002
LAA,2016,-0.01200000000000001
WSH,2016,0.03200000000000003
NYM,2022,0.028000000000000025
AZ,2017,0.016000000000000014
LAD,2016,0.03200000000000003
KC,2017,-0.0050000000000000044
CLE,2020,0.02300000000000002
STL,2019,0.007000000000000006
STL,2020,-0.008000000000000007
STL,2018,0.009000000000000008
BAL,2017,-0.019000000000000017
STL,2021,-0.007000000000000006
BAL,2023,0.0020000000000000018
CHC,2020,0.0020000000000000018
HOU,2016,0.018000000000000016
TEX,2019,-0.015000000000000013
TEX,2017,-0.013000000000000012
TEX,2016,-0.007000000000000006
NYY,2015,0.014000000000000012
KC,2015,0.0010000000000000009
WSH,2015,0.02200000000000002
LAA,2018,-0.0030000000000000027
SD,2021,0.0010000000000000009
MIA,2017,-0.014000000000000012
TB,2020,0.018000000000000016
KC,2023,-0.018000000000000016
TOR,2017,0.007000000000000006
BOS,2023,0.0020000000000000018
CLE,2015,0.016000000000000014
SEA,2022,0.016000000000000014
MIL,2018,0.009000000000000008
COL,2016,-0.010000000000000009
AZ,2019,-0.01100000000000001
STL,2022,0.0030000000000000027
SF,2016,0.01200000000000001
NYM,2017,-0.0050000000000000044
HOU,2020,-0.0050000000000000044
LAA,2023,-0.010000000000000009
BOS,2022,-0.0050000000000000044
CLE,2019,0.008000000000000007
TEX,2015,-0.009000000000000008
PIT,2015,0.016000000000000014
MIA,2023,0.0040000000000000036
MIL,2022,0.017000000000000015
CHC,2018,-0.0020000000000000018
HOU,2018,0.03799999999999998
SF,2015,0.0030000000000000027
PHI,2019,-0.01200000000000001
CIN,2017,-0.010000000000000009
AZ,2020,-0.029000000000000026
NYM,2015,0.03200000000000003
PHI,2021,0.014000000000000012
TB,2021,0.008000000000000007
LAA,2017,-0.013000000000000012
OAK,2016,-0.007000000000000006
NYM,2016,0.01100000000000001
SF,2023,0.0030000000000000027
PIT,2016,-0.006000000000000005
KC,2020,-0.019000000000000017
TOR,2019,-0.018000000000000016
BOS,2017,0.007000000000000006
ATL,2017,-0.01200000000000001
DET,2023,-0.007000000000000006
CIN,2023,-0.015000000000000013
AZ,2016,-0.02200000000000002
PIT,2023,-0.018000000000000016
KC,2018,-0.026000000000000023
PIT,2019,-0.014000000000000012
CIN,2018,-0.013000000000000012
PIT,2018,-0.0030000000000000027
BOS,2020,-0.043999999999999984
BAL,2015,0.0040000000000000036
HOU,2015,0.018000000000000016
AZ,2023,-0.016000000000000014
LAA,2015,0.006000000000000005
CLE,2021,-0.01200000000000001
LAA,2021,-0.0040000000000000036
MIL,2023,0.0020000000000000018
